phi;theta;psi
-165,882;-90,0;161,566
0,959;-1,567;2,817
0,431;-0,9;3,092
1,24;-1,216;3,155
0,325;-0,921;3,319
0,659;-1,267;3,387
0,568;-1,618;2,701
0,5;-0,865;3,002
0,954;-0,648;3,219
-163,266;-90,0;161,225
-162,789;-90,0;161,499
0,416;0,162;2,437
0,675;0,067;2,951
1,456;1,001;2,842
0,58;0,644;2,784
1,206;0,404;2,617
1,104;0,706;2,52
1,305;0,109;3,294
0,775;0,152;3,141
0,348;0,359;2,743
1,306;0,096;3,341
1,37;0,022;2,484
1,059;0,727;3,365
0,975;0,617;3,527
0,52;0,267;2,477
0,521;0,199;3,265
0,538;1,13;2,722
0,596;0,607;2,461
0,803;1,022;2,668
0,613;0,427;2,82
0,375;0,726;3,284
1,204;0,289;3,152
1,051;0,587;2,657
0,534;0,46;3,078
0,431;0,639;2,591
1,454;0,085;3,048
0,621;0,212;3,527
1,156;0,397;2,614
1,312;0,669;3,421
1,235;0,62;3,123
0,988;0,871;2,559
0,692;0,99;2,666
0,68;0,564;2,803
0,529;0,918;2,682
0,399;0,358;3,416
0,969;0,967;3,118
0,975;0,345;2,545
0,983;0,786;3,197
1,194;0,265;2,557
1,291;0,745;3,276
0,474;0,637;2,96
0,661;0,433;2,656
1,249;0,9;3,378
0,86;0,681;3,221
0,583;0,312;3,062
1,355;0,025;3,395
1,427;0,51;3,444
1,142;0,221;3,279
0,696;0,731;3,436
0,991;0,751;2,775
0,438;0,933;2,595
0,404;0,119;2,805
1,108;0,12;2,921
0,369;0,372;3,203
1,146;0,73;3,182
1,003;0,583;3,229
0,86;0,717;2,913
1,223;0,271;2,848
0,958;0,31;3,43
0,376;0,6;3,35
1,424;0,807;2,938
1,248;0,523;2,822
0,542;0,138;2,978
0,973;0,366;2,526
0,886;0,593;3,438
1,308;0,563;2,961
0,794;0,44;3,141
0,971;0,841;3,47
0,742;0,34;2,444
0,764;0,88;2,837
0,837;0,637;2,741
1,164;0,959;3,188
0,703;0,457;2,915
0,825;0,048;3,073
1,36;0,452;2,827
0,535;0,673;3,197
0,917;0,208;3,176
1,256;0,951;3,033
0,835;0,667;3,414
1,062;0,483;2,546
1,318;0,991;2,85
0,623;0,797;3,419
1,183;0,642;3,063
1,425;0,011;2,937
0,748;0,181;3,315
